# VMT_RVA	ClassName	InstanceSize	ParentVMT	PublishedMethodCount
54b550	TGnuGettextInstance	0x390	0x401970	0
54b6f0	TTP_RetranslatorItem	0x28	0x401970	0
54b848	TTP_Retranslator	0x28	0x54b378	0
54b990	TEmbeddedFileInfo	0x20	0x401970	0
54bab0	TFileLocator	0x30	0x401970	0
54bbe8	TGnuGettextComponentMarker	0x90	0x4db500	0
54bdc8	TClassMode	0x30	0x401970	0
54bee8	THook	0x38	0x401970	0
54bff8	THookedObjects	0x30	0x4c7c48	0
555018	TDictionary<System.TObject,System.TObject>.TKeyEnumerator	0x20	0x4e3bf0	0
5552c0	TDictionary<System.TObject,System.TObject>.TKeyCollection	0x18	0x4e3dc8	0
5555b8	TDictionary<System.TObject,System.TObject>.TValueEnumerator	0x20	0x4e3bf0	0
555860	TDictionary<System.TObject,System.TObject>.TValueCollection	0x18	0x4e3dc8	0
555b58	TDictionary<System.TObject,System.TObject>.TPairEnumerator	0x20	0x554918	0
555e00	TDictionary<System.TObject,System.TObject>	0x60	0x554b58	0
558260	EActionError	0x38	0x42dff8	0
558450	TCustomShortCutList	0x80	0x4cd3b8	0
5587f8	TContainedAction	0x138	0x4dcb20	0
5593b8	TContainedActionLink	0x28	0x4dc6b0	0
559658	TActionListEnumerator	0x20	0x401970	0
559978	TContainedActionList	0xd0	0x4db500	0
55a0f8	TEnumerator<System.Actions.TContainedAction>	0x10	0x401970	0
55a2f8	TEnumerable<System.Actions.TContainedAction>	0x10	0x401970	0
55a840	TList<System.Actions.TContainedAction>.TEnumerator	0x20	0x55a048	0
55aad0	TList<System.Actions.TContainedAction>	0x58	0x55a248	0
560000	EMaskException	0x38	0x42dff8	0
560310	TMask	0x18	0x401970	0
561120	ELocalTimeInvalid	0x38	0x42dff8	0
561258	EDateTimeException	0x38	0x42dff8	0
561408	TTimeZone	0x10	0x401970	0
562598	TLocalTimeZone	0xd0	0x561358	0
563798	TEnumerator<System.DateUtils.TLocalTimeZone.TYearlyChanges>	0x10	0x401970	0
5639b0	TEnumerable<System.DateUtils.TLocalTimeZone.TYearlyChanges>	0x10	0x401970	0
56a570	TDirectory.DoGetFiles$ActRec	0x40	0x4035e8	0
56b100	TDirectory.IsEmpty$ActRec	0x30	0x4035e8	0
56d660	EIniFileException	0x38	0x42dff8	0
56d798	TCustomIniFile	0x18	0x401970	0
56e758	TMemIniFile.TDictionaryList	0x20	0x401970	0
56ead0	TMemIniFile.TSection	0x20	0x56e6a8	0
56ef68	TMemIniFile.TSections	0x20	0x56e6a8	0
56f280	TMemIniFile	0x38	0x56d6e8	0
56fea8	TIniFile	0x18	0x56d6e8	0
570c50	TEnumerator<System.string>	0x10	0x401970	0
570e28	TEnumerable<System.string>	0x10	0x401970	0
571058	TDictionary<System.string,System.Integer>.TKeyEnumerator	0x20	0x570ba0	0
571300	TDictionary<System.string,System.Integer>.TKeyCollection	0x18	0x570d78	0
5715f8	TDictionary<System.string,System.Integer>.TValueEnumerator	0x20	0x4e85c8	0
5718a0	TDictionary<System.string,System.Integer>.TValueCollection	0x18	0x4e87a0	0
571b98	TDictionary<System.string,System.Integer>.TPairEnumerator	0x20	0x5704d8	0
571e40	TDictionary<System.string,System.Integer>	0x60	0x570718	0
578220	ERegistryException	0x38	0x42dff8	0
578560	TRegistry	0x40	0x401970	0
579c70	TRegIniFile	0x48	0x5784b0	0
57a3d0	TRegistryIniFile	0x20	0x56d6e8	0
583990	EInvalidGraphic	0x38	0x42dff8	0
583ac0	EInvalidGraphicOperation	0x38	0x42dff8	0
584188	TGraphicsObject	0x30	0x4c9a90	0
584438	TFont	0x40	0x5840d8	0
584988	TPen	0x38	0x5840d8	0
584cd0	TBrush	0x30	0x5840d8	0
585288	TCustomCanvas	0x60	0x4c9a90	0
586730	TCanvas	0x90	0x5851d8	0
587ba8	TGraphic	0x50	0x4c9d58	0
5884f0	TPicture	0x58	0x4c9d58	0
588e08	TMetafileCanvas	0x98	0x586680	0
5891f0	TSharedImage	0x18	0x401970	0
589378	TMetafileImage	0x40	0x589140	0
589590	TMetafile	0x60	0x587af8	0
589d98	TBitmapImage	0xb0	0x589140	0
58a148	TBitmap	0x70	0x587af8	0
